activity,confidence,timestamp,phone_lat,phone_long
Walking,98,Thu Oct 28 21:00:12 GMT+02:00 2021,55.8264046,9.862152
Walking,97,Thu Oct 28 21:00:16 GMT+02:00 2021,55.8263695,9.8621085
Walking,97,Thu Oct 28 21:00:19 GMT+02:00 2021,55.8263398,9.8620748
Walking,98,Thu Oct 28 21:00:22 GMT+02:00 2021,55.8262979,9.8620363
Walking,98,Thu Oct 28 21:00:26 GMT+02:00 2021,55.8262633,9.8620189
Walking,98,Thu Oct 28 21:00:30 GMT+02:00 2021,55.8262173,9.8620287
Walking,98,Thu Oct 28 21:00:33 GMT+02:00 2021,55.8261748,9.8620143
Walking,98,Thu Oct 28 21:00:36 GMT+02:00 2021,55.8261366,9.862001
Walking,97,Thu Oct 28 21:00:40 GMT+02:00 2021,55.8260873,9.8619738
Walking,97,Thu Oct 28 21:00:43 GMT+02:00 2021,55.8260467,9.8619802
Walking,98,Thu Oct 28 21:00:47 GMT+02:00 2021,55.8259982,9.8619733
Walking,98,Thu Oct 28 21:00:51 GMT+02:00 2021,55.8259627,9.8619583
Walking,98,Thu Oct 28 21:00:54 GMT+02:00 2021,55.8259169,9.8619284
Walking,98,Thu Oct 28 21:00:58 GMT+02:00 2021,55.8258648,9.8619073
Walking,98,Thu Oct 28 21:01:01 GMT+02:00 2021,55.825833,9.8618985
Walking,98,Thu Oct 28 21:01:05 GMT+02:00 2021,55.8257953,9.861872
Walking,98,Thu Oct 28 21:01:08 GMT+02:00 2021,55.8257617,9.8618619
Walking,98,Thu Oct 28 21:01:11 GMT+02:00 2021,55.8257256,9.8618754
Walking,98,Thu Oct 28 21:01:15 GMT+02:00 2021,55.8256871,9.8618589
Walking,98,Thu Oct 28 21:01:19 GMT+02:00 2021,55.8256504,9.8618217
Walking,98,Thu Oct 28 21:01:22 GMT+02:00 2021,55.8256247,9.8618006
Walking,98,Thu Oct 28 21:01:26 GMT+02:00 2021,55.825582,9.861774
Walking,98,Thu Oct 28 21:01:29 GMT+02:00 2021,55.8255392,9.8617468
Walking,98,Thu Oct 28 21:01:33 GMT+02:00 2021,55.8254866,9.86172
Walking,98,Thu Oct 28 21:01:37 GMT+02:00 2021,55.8254476,9.8616855
Walking,98,Thu Oct 28 21:01:40 GMT+02:00 2021,55.8254224,9.8616546
Walking,98,Thu Oct 28 21:01:43 GMT+02:00 2021,55.8253803,9.8616527
Walking,97,Thu Oct 28 21:01:46 GMT+02:00 2021,55.8253435,9.8616382
Walking,97,Thu Oct 28 21:01:49 GMT+02:00 2021,55.8253039,9.8616091
Walking,97,Thu Oct 28 21:01:53 GMT+02:00 2021,55.8252749,9.8615388
Walking,97,Thu Oct 28 21:01:57 GMT+02:00 2021,55.8252317,9.8614947
Walking,98,Thu Oct 28 21:02:00 GMT+02:00 2021,55.8251971,9.8614559
Walking,98,Thu Oct 28 21:02:03 GMT+02:00 2021,55.8251599,9.8614519
